
2025/04/24 (22:38:08) | ===> btop++ v.1.4.0
2025/04/24 (22:38:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/04/24 (23:49:33) | ===> btop++ v.1.4.0
2025/04/24 (23:49:33) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/04/25 (00:07:54) | ===> btop++ v.1.4.0
2025/04/25 (00:07:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/04/25 (00:30:43) | ===> btop++ v.1.4.0
2025/04/25 (00:30:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/04/27 (16:21:21) | ===> btop++ v.1.4.0
2025/04/27 (16:21:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
